,Neighbourhood,Neighbourhood Latitude,Neighbourhood Longitude,Venue Name,Venue ID,Venue Latitude,Venue Longitude,Venue Category
19,"Guildwood, Morningside, West Hill",43.76581500000003,-79.17519294699997,Booster Juice,4beca2f9d6e676b0538764d4,43.77066813,-79.18415042,Juice Bar
20,"Guildwood, Morningside, West Hill",43.76581500000003,-79.17519294699997,Sunset Grill,510bd6f1e4b0256d6cc14409,43.77231854994461,-79.18490011736371,Breakfast Spot
26,"Guildwood, Morningside, West Hill",43.76581500000003,-79.17519294699997,Kapit Bahay,4c1180cf72caa59362ad5da4,43.76931942785645,-79.18444235234782,Filipino Restaurant
27,"Guildwood, Morningside, West Hill",43.76581500000003,-79.17519294699997,Danny's Pub & International Cuisine,4d4cc5979ee1a35dfd6c1edf,43.7592840327422,-79.18053400045713,Restaurant
28,"Guildwood, Morningside, West Hill",43.76581500000003,-79.17519294699997,Sunny Up All Day Breakfast,4d6f8cd438a588bf38a40ce1,43.774986963984404,-79.1789559112651,Breakfast Spot
29,"Guildwood, Morningside, West Hill",43.76581500000003,-79.17519294699997,Eggsmart,4d95bd2ddaec224bf7bf043e,43.7678,-79.190466,Breakfast Spot
30,"Guildwood, Morningside, West Hill",43.76581500000003,-79.17519294699997,Big Bite Burrito,5411f741498e9ebd5e35d8bd,43.766299084470795,-79.19071980583941,Mexican Restaurant
37,Woburn,43.768369121000035,-79.21758999999997,Lucky Hakka,4b64765ff964a52028b52ae3,43.76246964027991,-79.21416375162714,Chinese Restaurant
42,Woburn,43.768369121000035,-79.21758999999997,Coffee Culture Cafe & Eatery,4b8bf7fbf964a5206eb532e3,43.77627788363806,-79.23402640869378,Coffee Shop
43,Woburn,43.768369121000035,-79.21758999999997,Aunty Mary's,4c23cf85f1272d7ff10682c5,43.76256617854289,-79.21557069034364,Fast Food Restaurant
45,Woburn,43.768369121000035,-79.21758999999997,Mr.Sub,4b7b168af964a520c1502fe3,43.761337,-79.216417,Sandwich Place
47,Woburn,43.768369121000035,-79.21758999999997,Fabian's Cafe,4e0a53e3d164028d170dc1b6,43.76815800171119,-79.22915850467795,Bakery
48,Woburn,43.768369121000035,-79.21758999999997,Country Style,4c87985cb231b60c559b1aec,43.77371602874512,-79.2070266305448,Coffee Shop
50,Woburn,43.768369121000035,-79.21758999999997,Wendy's,4b97cc7df964a520531635e3,43.78327147889442,-79.20439302921295,Fast Food Restaurant
52,Woburn,43.768369121000035,-79.21758999999997,So into Cupcakes,4f6f7236e4b07fa2c77fae8d,43.776258432832655,-79.2341315838387,Bakery
53,Woburn,43.768369121000035,-79.21758999999997,La Prep,52e6cc60498e4eea4e8da42f,43.7804278557511,-79.20504939039861,Café
54,Woburn,43.768369121000035,-79.21758999999997,D'Pavilion,4f73a9d2e4b0c356cf98dd9c,43.75737684327768,-79.23598196475945,Diner
56,Cedarbrae,43.76968799900004,-79.23943999999995,Fukuoka Sushi,4bf46644e5eba593d89e1f90,43.78067935750718,-79.24732025929174,Sushi Restaurant
57,Cedarbrae,43.76968799900004,-79.23943999999995,Cora's,4c87c446334537040e911572,43.78341688524566,-79.25310719667152,Breakfast Spot
58,Cedarbrae,43.76968799900004,-79.23943999999995,DAVIDsTEA,4c4bbc646e209521b57e16ec,43.77661326524622,-79.25851560939347,Tea Room
60,Cedarbrae,43.76968799900004,-79.23943999999995,Timothy's Coffee,4adf5a3df964a520c17921e3,43.77685540941018,-79.25188558949503,Coffee Shop
62,Cedarbrae,43.76968799900004,-79.23943999999995,Pumpernickel's,4ba77ef9f964a5203a9839e3,43.776882448908395,-79.25173280297763,Deli / Bodega
64,Cedarbrae,43.76968799900004,-79.23943999999995,TASTE MKT (Scarborough Town Centre Food Court),4ff87eb5e4b09751a81136be,43.775057654396534,-79.2571330379872,Food Court
69,Cedarbrae,43.76968799900004,-79.23943999999995,B&A Bakery,4e42cfc56284d1faa44a1083,43.77439074389114,-79.24387684648542,Bakery
73,Cedarbrae,43.76968799900004,-79.23943999999995,Coffee Culture Cafe & Eatery,4b8bf7fbf964a5206eb532e3,43.77627788363806,-79.23402640869378,Coffee Shop
79,Cedarbrae,43.76968799900004,-79.23943999999995,Fabian's Cafe,4e0a53e3d164028d170dc1b6,43.76815800171119,-79.22915850467795,Bakery
80,Cedarbrae,43.76968799900004,-79.23943999999995,So into Cupcakes,4f6f7236e4b07fa2c77fae8d,43.776258432832655,-79.2341315838387,Bakery
81,Cedarbrae,43.76968799900004,-79.23943999999995,The Blue Danube,4b880980f964a520d3da31e3,43.772840857250664,-79.24989169759249,German Restaurant
84,Cedarbrae,43.76968799900004,-79.23943999999995,Michel's Baguette French Bakery Cafe,4cf6580c6658548187c8c898,43.77513915806992,-79.25710470330432,Bakery
85,Cedarbrae,43.76968799900004,-79.23943999999995,Sammy's Family Restaurant,4defc00b7d8bb02cbf0210dc,43.75308986752855,-79.24468267232324,Breakfast Spot
88,Cedarbrae,43.76968799900004,-79.23943999999995,Piazza Manna,4b61cc06f964a52072232ae3,43.77692261408464,-79.2518091806429,Italian Restaurant
89,Cedarbrae,43.76968799900004,-79.23943999999995,Bendale Restaurant,4d90091d3bfef04dbce4bb86,43.75753469011006,-79.23870239913668,Diner
90,Cedarbrae,43.76968799900004,-79.23943999999995,D'Pavilion,4f73a9d2e4b0c356cf98dd9c,43.75737684327768,-79.23598196475945,Diner
91,Cedarbrae,43.76968799900004,-79.23943999999995,Koya Japan,4c5994d8ec2520a1375a4f12,43.77517017404646,-79.25718729560947,Asian Restaurant
92,Cedarbrae,43.76968799900004,-79.23943999999995,Jugo Juice,4ce97504678aa093745feeea,43.776285,-79.258597,Juice Bar
93,Cedarbrae,43.76968799900004,-79.23943999999995,Mac Sushi,4c9d001f9975a143e18337cf,43.77682191564565,-79.25841331421411,Sushi Restaurant
94,Cedarbrae,43.76968799900004,-79.23943999999995,Timothy's World Coffee,4cc1bf01967d5481b1cc7957,43.776755,-79.259008,Coffee Shop
95,Cedarbrae,43.76968799900004,-79.23943999999995,The Local Cafe Restaurant,583f175dfbe8ff549afaa9fd,43.7844523004027,-79.23057826015943,Bistro
97,Scarborough Village,43.74312500000008,-79.23174973599998,The Butcher Shop,4b06e498f964a5205df222e3,43.73786720022292,-79.2174198491369,Butcher
100,Scarborough Village,43.74312500000008,-79.23174973599998,Vi Pei Bistro - Bluffs,4bf54055cad2c928c5c99c99,43.72714826155886,-79.22964018336639,Bistro
108,Scarborough Village,43.74312500000008,-79.23174973599998,McDonald's,50526b60e4b050646bb02b04,43.742234,-79.22377,Fast Food Restaurant
115,Scarborough Village,43.74312500000008,-79.23174973599998,McDonald's,4bfdca018992a5935eb5acb0,43.743260826143874,-79.21506393214176,Fast Food Restaurant
116,Scarborough Village,43.74312500000008,-79.23174973599998,Swiss Chalet Rotisserie & Grill,4bb3e779f187a593b89e13f8,43.740377593835426,-79.23265630651542,Restaurant
117,Scarborough Village,43.74312500000008,-79.23174973599998,Sammy's Family Restaurant,4defc00b7d8bb02cbf0210dc,43.75308986752855,-79.24468267232324,Breakfast Spot
122,Scarborough Village,43.74312500000008,-79.23174973599998,Halibut House Fish and Chips Inc.,57470536498e136274e2f257,43.737541,-79.217342,Seafood Restaurant
123,Scarborough Village,43.74312500000008,-79.23174973599998,Mendoza's Bakery,4d56f615e7f1a1cd4f8d0da5,43.735396360469224,-79.24694582557048,Bakery
124,Scarborough Village,43.74312500000008,-79.23174973599998,Eggsmart,539c7055498e07c1346d0971,43.73673,-79.249051,Breakfast Spot
125,Scarborough Village,43.74312500000008,-79.23174973599998,D'Pavilion,4f73a9d2e4b0c356cf98dd9c,43.75737684327768,-79.23598196475945,Diner
127,Scarborough Village,43.74312500000008,-79.23174973599998,Bendale Restaurant,4d90091d3bfef04dbce4bb86,43.75753469011006,-79.23870239913668,Diner
128,"East Birchmount Park, Ionview, Kennedy Park",43.72627568400003,-79.26362499999993,Chung Moi,4b6475def964a520f9b42ae3,43.73232776751296,-79.26932737877392,Chinese Restaurant
138,"East Birchmount Park, Ionview, Kennedy Park",43.72627568400003,-79.26362499999993,Country Style,4e177fe0091ada32262c75a9,43.731827756817204,-79.26791408691976,Coffee Shop
140,"East Birchmount Park, Ionview, Kennedy Park",43.72627568400003,-79.26362499999993,Eggsmart,4b881ceff964a520b7e031e3,43.72756,-79.287184,Breakfast Spot
141,"East Birchmount Park, Ionview, Kennedy Park",43.72627568400003,-79.26362499999993,Wimpys Diner,4b93cf2af964a520c35234e3,43.71618188710609,-79.26161973842288,Fast Food Restaurant
142,"East Birchmount Park, Ionview, Kennedy Park",43.72627568400003,-79.26362499999993,2201 Eglinton Ave. Cafeteria,4b701d66f964a520bb072de3,43.72808059211484,-79.27885587259561,Cafeteria
145,"East Birchmount Park, Ionview, Kennedy Park",43.72627568400003,-79.26362499999993,Southern Accent,534ef438498ed6c8ab81aebb,43.71885322183824,-79.2508057250727,Cajun / Creole Restaurant
147,"East Birchmount Park, Ionview, Kennedy Park",43.72627568400003,-79.26362499999993,Eggsmart,539c7055498e07c1346d0971,43.73673,-79.249051,Breakfast Spot
148,"East Birchmount Park, Ionview, Kennedy Park",43.72627568400003,-79.26362499999993,Mendoza's Bakery,4d56f615e7f1a1cd4f8d0da5,43.735396360469224,-79.24694582557048,Bakery
149,"East Birchmount Park, Ionview, Kennedy Park",43.72627568400003,-79.26362499999993,FV Foods,4b9d3235f964a520619836e3,43.721075490242356,-79.2843421923731,Filipino Restaurant
150,"Clairlea, Golden Mile, Oakridge",43.71305350000006,-79.28505499999994,Gingerman Restaurant,4bd847e709ecb713146d487c,43.707844,-79.29558,Restaurant
151,"Clairlea, Golden Mile, Oakridge",43.71305350000006,-79.28505499999994,Ital Vital Rastarant,53729c0a498e019260644870,43.71721649169922,-79.29380798339844,Vegetarian / Vegan Restaurant
153,"Clairlea, Golden Mile, Oakridge",43.71305350000006,-79.28505499999994,D Spot Dessert Cafe,542c3917498e17795d30adc2,43.72291263114418,-79.28940474250896,Dessert Shop
154,"Clairlea, Golden Mile, Oakridge",43.71305350000006,-79.28505499999994,Peek Freans Cookie Outlet,4c69a3588e7c0f47e629e00f,43.71326033174486,-79.30806318602713,Bakery
165,"Clairlea, Golden Mile, Oakridge",43.71305350000006,-79.28505499999994,Bakery On The Go,4cb6527eb315a0934c469b76,43.711270905205765,-79.27950587661704,Bakery
166,"Clairlea, Golden Mile, Oakridge",43.71305350000006,-79.28505499999994,Cafe on the go,4eb2c6918b815ab741f9fcdd,43.71115104374148,-79.27946923512921,Bakery
167,"Clairlea, Golden Mile, Oakridge",43.71305350000006,-79.28505499999994,Eggsmart,4b881ceff964a520b7e031e3,43.72756,-79.287184,Breakfast Spot
170,"Clairlea, Golden Mile, Oakridge",43.71305350000006,-79.28505499999994,FV Foods,4b9d3235f964a520619836e3,43.721075490242356,-79.2843421923731,Filipino Restaurant
174,"Clairlea, Golden Mile, Oakridge",43.71305350000006,-79.28505499999994,Bread King Bakery,4c090fed009a0f47d70ae7bf,43.707411287852516,-79.2690128383178,Bakery
175,"Clairlea, Golden Mile, Oakridge",43.71305350000006,-79.28505499999994,Duffy's Drive-In Restaurant,4b0d2faef964a5206e4423e3,43.70221178731397,-79.29680943350886,Burger Joint
177,"Clairlea, Golden Mile, Oakridge",43.71305350000006,-79.28505499999994,La Famliglia,4e07c0f27d8b2a01805cf1e2,43.715112479048344,-79.30536141584285,Italian Restaurant
178,"Clairlea, Golden Mile, Oakridge",43.71305350000006,-79.28505499999994,2201 Eglinton Ave. Cafeteria,4b701d66f964a520bb072de3,43.72808059211484,-79.27885587259561,Cafeteria
180,"Clairlea, Golden Mile, Oakridge",43.71305350000006,-79.28505499999994,BeanWise (formerly Cultured Coffee Bean),540b37d7498e634754b1db46,43.71324905334155,-79.30785208267649,Coffee Shop
181,"Clairlea, Golden Mile, Oakridge",43.71305350000006,-79.28505499999994,Country Style,51bf10a4498ed21d675407a3,43.72648,-79.29978,Coffee Shop
182,"Clairlea, Golden Mile, Oakridge",43.71305350000006,-79.28505499999994,Wimpys Diner,4b93cf2af964a520c35234e3,43.71618188710609,-79.26161973842288,Fast Food Restaurant
183,"Clairlea, Golden Mile, Oakridge",43.71305350000006,-79.28505499999994,Mondelez,4bd32953b221c9b6a1ffd8d0,43.71326405563084,-79.30985171831507,Bakery
184,"Clairlea, Golden Mile, Oakridge",43.71305350000006,-79.28505499999994,Watt's Restaurant,4bf52553cad2c928e1a59c99,43.723853274021316,-79.29922526310501,Diner
185,"Cliffcrest, Cliffside, Scarborough Village West",43.724234575000025,-79.22792499999997,Vi Pei Bistro - Bluffs,4bf54055cad2c928c5c99c99,43.72714826155886,-79.22964018336639,Bistro
187,"Cliffcrest, Cliffside, Scarborough Village West",43.724234575000025,-79.22792499999997,The Butcher Shop,4b06e498f964a5205df222e3,43.73786720022292,-79.2174198491369,Butcher
194,"Cliffcrest, Cliffside, Scarborough Village West",43.724234575000025,-79.22792499999997,Cathedral Bluffs Yacht Club,4c66fed419f3c9b66b9da1ff,43.71131608295247,-79.22837734222412,Harbor / Marina
195,"Cliffcrest, Cliffside, Scarborough Village West",43.724234575000025,-79.22792499999997,Halibut House Fish and Chips Inc.,57470536498e136274e2f257,43.737541,-79.217342,Seafood Restaurant
196,"Cliffcrest, Cliffside, Scarborough Village West",43.724234575000025,-79.22792499999997,Swiss Chalet Rotisserie & Grill,4bb3e779f187a593b89e13f8,43.740377593835426,-79.23265630651542,Restaurant
197,"Cliffcrest, Cliffside, Scarborough Village West",43.724234575000025,-79.22792499999997,Southern Accent,534ef438498ed6c8ab81aebb,43.71885322183824,-79.2508057250727,Cajun / Creole Restaurant
199,"Cliffcrest, Cliffside, Scarborough Village West",43.724234575000025,-79.22792499999997,Mendoza's Bakery,4d56f615e7f1a1cd4f8d0da5,43.735396360469224,-79.24694582557048,Bakery
200,"Birch Cliff, Cliffside West",43.69677000000007,-79.25996735299998,The Birchcliff,56d51743498e60da346470e2,43.69166644406541,-79.26453158481682,Café
202,"Birch Cliff, Cliffside West",43.69677000000007,-79.25996735299998,Eggsmart,4c9e27d87c096dcb1020d2d1,43.707048,-79.250189,Breakfast Spot
206,"Birch Cliff, Cliffside West",43.69677000000007,-79.25996735299998,Wimpy's Diner,52d5ac8f11d2476f50fe5fbb,43.68904771098145,-79.26948627518628,Diner
209,"Birch Cliff, Cliffside West",43.69677000000007,-79.25996735299998,Vipei,4b3e8a74f964a520af9e25e3,43.70475277397929,-79.2521767496029,American Restaurant
210,"Birch Cliff, Cliffside West",43.69677000000007,-79.25996735299998,Premium Sweet,5227771811d2224141b30301,43.695566088366604,-79.27602056051339,Dessert Shop
211,"Birch Cliff, Cliffside West",43.69677000000007,-79.25996735299998,Bread King Bakery,4c090fed009a0f47d70ae7bf,43.707411287852516,-79.2690128383178,Bakery
212,"Birch Cliff, Cliffside West",43.69677000000007,-79.25996735299998,Bulk Barn,4c894c9594f5a093f4f8d61e,43.708699538649995,-79.25017338357856,Snack Place
214,"Birch Cliff, Cliffside West",43.69677000000007,-79.25996735299998,The Quarry Cafe,4c2783f8c11dc9b604ae2a24,43.68914089143703,-79.27800772955806,Breakfast Spot
216,"Dorset Park, Scarborough Town Centre, Wexford Heights",43.759975000000054,-79.26897418299995,Calabria Bakery,4bc88e208b7c9c743b5538cf,43.7616699583205,-79.26950674263456,Bakery
217,"Dorset Park, Scarborough Town Centre, Wexford Heights",43.759975000000054,-79.26897418299995,Spicy Dragon,4b647754f964a52079b52ae3,43.74921946341891,-79.27508200752006,Asian Restaurant
219,"Dorset Park, Scarborough Town Centre, Wexford Heights",43.759975000000054,-79.26897418299995,Chapters,4addebfef964a5204b6621e3,43.7723853898383,-79.28291075818032,Bookstore
221,"Dorset Park, Scarborough Town Centre, Wexford Heights",43.759975000000054,-79.26897418299995,Jollibee,5abb985d64c8e111cb92d2d4,43.77315327239498,-79.28081316044927,Filipino Restaurant
224,"Dorset Park, Scarborough Town Centre, Wexford Heights",43.759975000000054,-79.26897418299995,Patty King,4c23a14ca852c9280ed0e16c,43.77381844982371,-79.2681423412703,Fast Food Restaurant
228,"Dorset Park, Scarborough Town Centre, Wexford Heights",43.759975000000054,-79.26897418299995,Sunset Grill,567ad97a498e2bee5538bc0b,43.77358164882891,-79.28288321996222,Breakfast Spot
229,"Dorset Park, Scarborough Town Centre, Wexford Heights",43.759975000000054,-79.26897418299995,TASTE MKT (Scarborough Town Centre Food Court),4ff87eb5e4b09751a81136be,43.775057654396534,-79.2571330379872,Food Court
234,"Dorset Park, Scarborough Town Centre, Wexford Heights",43.759975000000054,-79.26897418299995,Eggsmart,4ba68ad4f964a5209c5c39e3,43.76878537914169,-79.281926897736,Breakfast Spot
238,"Dorset Park, Scarborough Town Centre, Wexford Heights",43.759975000000054,-79.26897418299995,Montmartre Bakery,4ce2c4fddb125481462649ce,43.754463,-79.267934,Bakery
240,"Dorset Park, Scarborough Town Centre, Wexford Heights",43.759975000000054,-79.26897418299995,Patisserie Royale,57878fef498e8b657945dec5,43.764908,-79.279904,Dessert Shop
241,"Dorset Park, Scarborough Town Centre, Wexford Heights",43.759975000000054,-79.26897418299995,Norman Sue Bakery,4ebea9e89a52cce4f3035957,43.770737078414214,-79.2685106525177,Bakery
242,"Dorset Park, Scarborough Town Centre, Wexford Heights",43.759975000000054,-79.26897418299995,Cake House Bakery,4f5bd5b7e4b0d8f7b6699db0,43.750564158244494,-79.27714901348529,Bakery
243,"Dorset Park, Scarborough Town Centre, Wexford Heights",43.759975000000054,-79.26897418299995,Jesse Jr. Filipino Foods,4cf14c49cc61a35dde01149e,43.74913222166638,-79.27510038619766,Asian Restaurant
244,"Dorset Park, Scarborough Town Centre, Wexford Heights",43.759975000000054,-79.26897418299995,Michel's Baguette French Bakery Cafe,4cf6580c6658548187c8c898,43.77513915806992,-79.25710470330432,Bakery
245,"Dorset Park, Scarborough Town Centre, Wexford Heights",43.759975000000054,-79.26897418299995,Eggsmart,52ff9581498ea28fea581034,43.769028,-79.28165,Breakfast Spot
246,"Dorset Park, Scarborough Town Centre, Wexford Heights",43.759975000000054,-79.26897418299995,Coffee Time,4dad8ab9043718a63e33e294,43.773307723529335,-79.27289954044328,Coffee Shop
248,"Dorset Park, Scarborough Town Centre, Wexford Heights",43.759975000000054,-79.26897418299995,Coffee In,4c24f0cdb7b8a59382573de8,43.7475437078872,-79.28360570466556,Filipino Restaurant
249,"Dorset Park, Scarborough Town Centre, Wexford Heights",43.759975000000054,-79.26897418299995,Koya Japan,4c5994d8ec2520a1375a4f12,43.77517017404646,-79.25718729560947,Asian Restaurant
250,"Dorset Park, Scarborough Town Centre, Wexford Heights",43.759975000000054,-79.26897418299995,Jugo Juice,4ce97504678aa093745feeea,43.776285,-79.258597,Juice Bar
251,"Maryvale, Wexford",43.750710464000065,-79.30055999999996,Kostas Meat Market,4cd56bc194848cfa2b1ae6b1,43.7606051148729,-79.30182964378845,Greek Restaurant
252,"Maryvale, Wexford",43.750710464000065,-79.30055999999996,Wexford Restaurant,4b8e9db3f964a5201b2c33e3,43.7460300445972,-79.29384330907153,Breakfast Spot
256,"Maryvale, Wexford",43.750710464000065,-79.30055999999996,The Bean Sprout,4c9f77980e9bb1f7659bf05f,43.742228835254664,-79.31357696452841,Chinese Restaurant
259,"Maryvale, Wexford",43.750710464000065,-79.30055999999996,Bruno's valu-mart,4bafa285f964a5203a123ce3,43.746143,-79.32463,Grocery Store
267,"Maryvale, Wexford",43.750710464000065,-79.30055999999996,Eggsmart,4d011f2aba1da1cd896f8c28,43.762008,-79.295726,Breakfast Spot
268,"Maryvale, Wexford",43.750710464000065,-79.30055999999996,Mr.Sub,4ccb5dc1b5cdbfb79ce885c1,43.752814,-79.314067,Restaurant
269,"Maryvale, Wexford",43.750710464000065,-79.30055999999996,Wimpy's Diner,4bdc564dfed22d7f10b257c9,43.759334850907884,-79.3098316408897,Breakfast Spot
270,"Maryvale, Wexford",43.750710464000065,-79.30055999999996,Coffee In,4c24f0cdb7b8a59382573de8,43.7475437078872,-79.28360570466556,Filipino Restaurant
272,"Maryvale, Wexford",43.750710464000065,-79.30055999999996,Valley Fields Family Restaurant,4ba4f1bcf964a52083c638e3,43.74145188427135,-79.3196334859321,Breakfast Spot
273,"Maryvale, Wexford",43.750710464000065,-79.30055999999996,The Prince - Shisha Lounge,4c3a64cd3849c928d3f3c2b1,43.736602724746405,-79.30781173902841,Middle Eastern Restaurant
274,"Maryvale, Wexford",43.750710464000065,-79.30055999999996,K C McFlys,4d9581ed2bd6f04d250a2050,43.73598654734451,-79.30620886692107,Wings Joint
275,"Maryvale, Wexford",43.750710464000065,-79.30055999999996,Bamboo Garden,4e456c11c65bd6ffbe83a106,43.73596810935831,-79.30623638143747,Chinese Restaurant
277,"Maryvale, Wexford",43.750710464000065,-79.30055999999996,Osmow's Authentic Mediterranean Restaurant,5a10ca986eda02780a5e7eb4,43.735943,-79.308014,Mediterranean Restaurant
278,"Maryvale, Wexford",43.750710464000065,-79.30055999999996,Star Grazing,5053db99e4b0845914e19430,43.766922111958195,-79.30291256915724,Food Truck
279,"Maryvale, Wexford",43.750710464000065,-79.30055999999996,Lone Tai Supermarket,4c0d9bcc2466a593bfe87721,43.7503458515419,-79.27718830128853,Asian Restaurant
280,"Maryvale, Wexford",43.750710464000065,-79.30055999999996,Cake House Bakery,4f5bd5b7e4b0d8f7b6699db0,43.750564158244494,-79.27714901348529,Bakery
281,"Maryvale, Wexford",43.750710464000065,-79.30055999999996,Mak euro deli,5026cbdee4b0dd4acc666818,43.740743,-79.320836,Deli / Bodega
282,Agincourt,43.79394000000008,-79.26797613999997,Yummy Cantonese Restaurant 老西関腸粉,540474fb498e979708c1eabb,43.787567846730724,-79.26958536632105,Cantonese Restaurant
283,Agincourt,43.79394000000008,-79.26797613999997,Grandeur Palace 華丽宮 (Grandeur Palace 華麗宮),58388814809a776da0e00646,43.79788486462263,-79.27058461606062,Chinese Restaurant
284,Agincourt,43.79394000000008,-79.26797613999997,Babu Catering & Take Out,4bacd8e3f964a52080113be3,43.791720827884255,-79.25113186858357,Sri Lankan Restaurant
285,Agincourt,43.79394000000008,-79.26797613999997,Panagio's Breakfast & Lunch,4e3451fcd4c063434821c41e,43.79237001092506,-79.26020325805978,Breakfast Spot
287,Agincourt,43.79394000000008,-79.26797613999997,Francesca Bakery,4bd444f5462cb71393ebdf07,43.787715953312,-79.25685232939088,Bakery
288,Agincourt,43.79394000000008,-79.26797613999997,Jesse Jr. (Filipino Foods & Restaurant),4c39cce80a71c9b61e0443c9,43.78756491773208,-79.26880977111882,Restaurant
289,Agincourt,43.79394000000008,-79.26797613999997,Cora's,4c87c446334537040e911572,43.78341688524566,-79.25310719667152,Breakfast Spot
290,Agincourt,43.79394000000008,-79.26797613999997,Samosa King - Embassy Restaurant,4aee2557f964a52080d221e3,43.81015178654958,-79.25731635003477,Indian Restaurant
291,Agincourt,43.79394000000008,-79.26797613999997,Perfect Chinese Restaurant 雅瓊海鮮酒家,4b29e021f964a520d4a324e3,43.78777423062292,-79.27029393705004,Chinese Restaurant
294,Agincourt,43.79394000000008,-79.26797613999997,Booster Juice,518e8872498e8a7180302e19,43.80991481104798,-79.26938167887475,Juice Bar
295,Agincourt,43.79394000000008,-79.26797613999997,El Pulgarcito,4b50b100f964a520b72d27e3,43.792647695283875,-79.25920775335268,Latin American Restaurant
298,Agincourt,43.79394000000008,-79.26797613999997,Shanghai Dim Sum,4c8ad1c61eafb1f7320e7e35,43.78703615843197,-79.26938030256589,Chinese Restaurant
300,Agincourt,43.79394000000008,-79.26797613999997,Fisherman Villa 褔臨門,4bb74fea1344b7136f8e9e04,43.78710781967966,-79.27593050538756,Hong Kong Restaurant
302,Agincourt,43.79394000000008,-79.26797613999997,Bistro Manila,4b1c0007f964a520810024e3,43.78788483949941,-79.26699795232821,Filipino Restaurant
303,Agincourt,43.79394000000008,-79.26797613999997,Restaurant 59,4d728acd27ddb60cb58fcf1b,43.80387422834321,-79.28805852527513,Chinese Restaurant
304,Agincourt,43.79394000000008,-79.26797613999997,Cakeview Bakery & Cafe 楓林餅屋,4bec5820fd60a59360dd3af1,43.80436280540223,-79.28734706152106,Bakery
305,Agincourt,43.79394000000008,-79.26797613999997,Global Imperial Cuisine 國寶軒,53925ee0498e8a555acfaea8,43.786719157990575,-79.2743816188499,Cantonese Restaurant
306,Agincourt,43.79394000000008,-79.26797613999997,Quiznos,4c5750926418a59356227f0e,43.78946932145228,-79.25862415054623,Sandwich Place
307,Agincourt,43.79394000000008,-79.26797613999997,Ocean Castle Seafood Restaurant,4e13471a8877ac23b67131df,43.78689596410336,-79.27397279647855,Asian Restaurant
308,Agincourt,43.79394000000008,-79.26797613999997,Grand Ocean Restaurant,4d2b495d6e27a143be653624,43.78693261153702,-79.27423007314356,Restaurant
309,Agincourt,43.79394000000008,-79.26797613999997,Red House Bakery,4d0d1782903d370454dcc155,43.78653751833312,-79.27575668671945,Bakery
310,Agincourt,43.79394000000008,-79.26797613999997,Casa Deluz 豪門宴,539dc3dd498e6ead0c742045,43.80895542975194,-79.26811265646485,Dim Sum Restaurant
311,Agincourt,43.79394000000008,-79.26797613999997,HK Garden 花園餐廳,5356a07e498e14ef6198dbfd,43.78666922108873,-79.27713800425371,Asian Restaurant
312,Agincourt,43.79394000000008,-79.26797613999997,The Niner Diner,4d88d7134757721e51cd9569,43.781919425963146,-79.25914283228654,Restaurant
313,Agincourt,43.79394000000008,-79.26797613999997,Kin Kin Bubble Tea Co,4d4daeac9ee1370408f4868b,43.807851553703514,-79.27029551638599,Chinese Restaurant
314,Agincourt,43.79394000000008,-79.26797613999997,Full House Chinese Cuisine 炳勝農家菜,4bad434ef964a5207a3f3be3,43.80459670304366,-79.28714764552099,Chinese Restaurant
